,episode,PICARD,WORF,BEVERLY,GEORDI,TROI,DATA,RIKER,WES,GUINAN,TASHA,PULASKI,Q,LORE,Total_Word_Count
163,unification part 1,1264,208.0,82.0,219.0,48.0,599.0,556,0.0,0.0,0.0,0.0,0.0,0.0,2976.0
164,unification part 2,745,162.0,39.0,92.0,38.0,474.0,468,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
165,up the long ladder,924,284.0,0.0,129.0,88.0,321.0,539,0.0,0.0,0.0,696.0,0.0,0.0,2981.0
166,violations,808,46.0,501.0,579.0,334.0,213.0,345,0.0,0.0,0.0,0.0,0.0,0.0,2826.0
167,we'll always have paris,1338,133.0,350.0,142.0,216.0,675.0,303,0.0,0.0,0.0,0.0,0.0,0.0,3157.0
168,when the bough breaks,1015,39.0,336.0,70.0,43.0,184.0,437,597.0,0.0,40.0,0.0,0.0,0.0,2761.0
169,where no one has gone before,1261,32.0,70.0,114.0,117.0,131.0,517,150.0,0.0,59.0,0.0,0.0,0.0,2451.0
170,where silence has lease,1105,226.0,0.0,109.0,119.0,463.0,623,127.0,0.0,0.0,171.0,0.0,0.0,2943.0
171,who watches the watchers,907,32.0,138.0,47.0,177.0,135.0,271,0.0,0.0,0.0,0.0,0.0,0.0,1707.0
172,yesterday's enterprise,1124,62.0,101.0,167.0,0.0,404.0,390,110.0,368.0,778.0,0.0,0.0,0.0,3504.0
