,PICARD_PCT,RIKER_PCT,DATA_PCT,WORF_PCT,TROI_PCT,BEVERLY_PCT,GEORDI_PCT,Q_PCT,LORE_PCT,WESLEY_PCT,GUINAN_PCT,TASHA_PCT,PULASKI_PCT,RATING
49,18.06,6.11,14.5,6.2,1.26,4.85,44.08,0.0,0.0,0.0,4.94,0.0,0.0,7.099999999999949
50,25.55,29.65,19.67,7.49,6.75,3.95,6.94,0.0,0.0,0.0,0.0,0.0,0.0,7.8000000000000345
51,43.74,16.26,22.4,8.83,3.91,2.95,1.91,0.0,0.0,0.0,0.0,0.0,0.0,7.900000000000052
52,23.26,6.72,40.15,6.09,6.18,12.67,4.93,0.0,0.0,0.0,0.0,0.0,0.0,7.2
53,37.21,7.96,13.0,6.59,16.17,2.31,16.77,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999991
54,37.68,10.25,7.08,0.47,29.23,5.43,4.53,0.0,0.0,0.0,0.0,5.34,0.0,6.20000000000001
55,33.99,10.93,10.85,24.15,0.0,1.0,9.64,0.0,0.0,0.0,0.0,9.44,0.0,7.300000000000024
56,19.46,6.56,32.73,6.02,15.62,2.41,17.21,0.0,0.0,0.0,0.0,0.0,0.0,6.599999999999951
57,27.52,17.5,6.31,2.09,1.83,2.01,6.78,31.85,0.0,0.86,0.0,3.26,0.0,6.900000000000038
58,12.72,12.04,9.28,0.93,9.93,1.14,44.55,0.0,0.0,3.9,5.51,0.0,0.0,7.800000000000048
59,41.28,14.26,17.04,1.88,6.49,5.74,7.99,0.0,0.0,0.75,0.0,4.58,0.0,6.8
60,30.19,5.53,12.35,32.02,2.45,10.28,7.17,0.0,0.0,0.0,0.0,0.0,0.0,7.0
61,32.01,4.16,8.17,1.07,2.34,13.28,26.46,0.0,0.0,0.0,12.53,0.0,0.0,8.599999999999941
62,15.09,7.03,14.68,4.74,0.0,24.73,33.73,0.0,0.0,0.0,0.0,0.0,0.0,6.799999999999986
63,19.89,3.63,12.94,3.97,21.81,2.45,20.5,0.0,0.0,0.0,14.82,0.0,0.0,6.099999999999949
64,15.08,12.66,52.18,4.85,2.82,0.27,7.18,0.0,0.0,0.0,4.97,0.0,0.0,7.099999999999949
65,5.62,6.78,59.08,0.36,5.54,7.33,15.28,0.0,0.0,0.0,0.0,0.0,0.0,7.5
66,13.13,5.38,21.79,0.45,2.75,9.91,46.61,0.0,0.0,0.0,0.0,0.0,0.0,6.30000000000002
67,47.68,2.46,0.64,3.57,2.26,12.9,4.14,0.0,0.0,26.35,0.0,0.0,0.0,6.40000000000004
68,43.69,8.93,21.48,1.82,4.13,7.04,3.55,0.0,0.0,3.59,0.0,5.76,0.0,6.0
69,24.97,21.26,30.62,6.88,2.51,5.72,8.05,0.0,0.0,0.0,0.0,0.0,0.0,6.6999999999999815
70,54.06,19.09,4.76,3.78,2.63,6.98,8.7,0.0,0.0,0.0,0.0,0.0,0.0,7.400000000000048
71,58.72,6.32,1.67,9.98,16.22,0.9,0.24,5.95,0.0,0.0,0.0,0.0,0.0,6.599999999999959
72,27.41,15.73,14.31,3.23,9.14,10.0,7.28,0.0,0.0,5.53,0.0,7.36,0.0,6.3
73,42.83,13.12,17.99,2.6,11.07,0.0,7.89,0.0,0.0,0.87,0.0,0.0,3.64,6.400000000000045
74,29.13,19.91,4.17,13.26,6.42,13.54,13.58,0.0,0.0,0.0,0.0,0.0,0.0,8.5
75,29.99,13.96,2.23,3.64,24.72,24.42,1.04,0.0,0.0,0.0,0.0,0.0,0.0,5.799999999999996
76,43.78,13.3,14.38,1.97,12.78,0.0,2.31,0.0,0.0,3.46,0.0,0.0,8.01,6.0
77,32.51,9.54,24.35,4.81,9.89,2.46,16.44,0.0,0.0,0.0,0.0,0.0,0.0,6.099999999999954
78,29.92,19.75,8.32,3.98,15.37,3.44,7.99,0.0,0.0,11.23,0.0,0.0,0.0,6.599999999999952
79,14.62,8.67,11.61,37.05,11.67,1.93,14.45,0.0,0.0,0.0,0.0,0.0,0.0,6.5
80,17.08,4.11,29.95,2.58,19.22,18.78,5.87,0.0,0.0,0.0,2.41,0.0,0.0,7.200000000000005
81,5.58,15.17,23.9,31.03,12.34,4.75,2.67,0.0,0.0,4.56,0.0,0.0,0.0,8.800000000000052
82,27.28,19.56,20.02,6.6,4.67,0.0,8.59,0.0,0.0,5.21,0.0,0.0,8.07,7.6999999999999575
83,26.64,16.73,20.35,3.83,6.78,0.0,1.87,0.0,0.0,13.6,0.0,0.0,10.2,6.69999999999998
84,19.64,4.98,30.72,2.64,11.82,7.21,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59999999999995
85,28.09,18.38,11.3,4.76,21.47,6.35,9.66,0.0,0.0,0.0,0.0,0.0,0.0,7.400000000000058
86,62.01,11.39,14.87,9.03,0.95,0.95,0.79,0.0,0.0,0.0,0.0,0.0,0.0,7.900000000000057
87,23.37,17.9,9.07,7.13,1.28,0.0,8.28,23.89,0.0,1.37,7.71,0.0,0.0,8.900000000000057
88,39.76,7.27,4.1,1.3,4.34,5.34,2.0,35.89,0.0,0.0,0.0,0.0,0.0,7.400000000000057
89,8.26,32.32,4.86,7.23,10.15,24.73,8.32,0.0,0.0,0.0,4.13,0.0,0.0,7.4000000000000465
90,14.08,7.98,12.9,1.37,12.8,15.97,34.91,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999979
